,noc_code,position,low_wage,median_wage,high_wage,position_detail_link
98,(21330),Mining engineers     ,20.6,47.62,134.62,https://www.jobbank.gc.ca/marketreport/wages-occupation/2816/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
99,(21331),Geological engineers      ,28.01,49.83,90.69,https://www.jobbank.gc.ca/marketreport/wages-occupation/22455/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
100,(21332),Petroleum engineers     ,0.0,46.7,0.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/2831/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
101,(21390),Aerospace engineers     ,23.38,45.72,63.63,https://www.jobbank.gc.ca/marketreport/wages-occupation/2845/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
102,(21399),Other professional engineers     ,36.06,48.08,74.79,https://www.jobbank.gc.ca/marketreport/wages-occupation/5419/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
103,(22100),Chemical technologists and technicians     ,20.0,22.0,38.46,https://www.jobbank.gc.ca/marketreport/wages-occupation/2974/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
104,(22101),Geological and mineral technologists and technicians     ,21.0,30.0,43.62,https://www.jobbank.gc.ca/marketreport/wages-occupation/3029/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
105,(22110),Biological technologists and technicians     ,19.0,24.55,32.18,https://www.jobbank.gc.ca/marketreport/wages-occupation/3126/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
106,(22111),Agricultural and fish products inspectors     ,20.36,33.45,45.57,https://www.jobbank.gc.ca/marketreport/wages-occupation/3167/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
107,(22112),Forestry technologists and technicians     ,22.42,32.0,42.94,https://www.jobbank.gc.ca/marketreport/wages-occupation/17904/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
108,(22113),Conservation and fishery officers     ,26.67,38.0,50.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/297228/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
109,(22114),Landscape and horticulture technicians and specialists     ,19.0,25.0,31.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/22560/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
110,(22210),Architectural technologists and technicians     ,23.0,32.5,44.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/3397/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
111,(22211),Industrial designers     ,21.0,35.0,52.88,https://www.jobbank.gc.ca/marketreport/wages-occupation/3406/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
112,(22212),Drafting technologists and technicians     ,20.0,32.75,45.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/3429/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
113,(22213),Land survey technologists and technicians     ,20.89,37.0,61.3,https://www.jobbank.gc.ca/marketreport/wages-occupation/18100/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
114,(22214),Technical occupations in geomatics and meteorology     ,27.0,36.0,43.82,https://www.jobbank.gc.ca/marketreport/wages-occupation/3506/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
115,(22220),Computer network and web technicians     ,22.0,30.91,46.15,https://www.jobbank.gc.ca/marketreport/wages-occupation/24514/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
116,(22221),User support technicians     ,20.0,30.0,43.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/3772/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
117,(22222),Information systems testing technicians     ,19.0,31.79,49.45,https://www.jobbank.gc.ca/marketreport/wages-occupation/3954/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
118,(22230),Non-destructive testers and inspectors     ,24.28,38.88,54.63,https://www.jobbank.gc.ca/marketreport/wages-occupation/3538/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
119,(22231),Engineering inspectors and regulatory officers     ,29.52,46.97,71.42,https://www.jobbank.gc.ca/marketreport/wages-occupation/18130/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
120,(22232),Occupational health and safety specialists     ,28.85,43.27,62.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/22680/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
121,(22233),Construction inspectors     ,26.0,38.0,52.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/3586/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
122,(22300),Civil engineering technologists and technicians     ,22.0,34.87,47.5,https://www.jobbank.gc.ca/marketreport/wages-occupation/17969/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
123,(22301),Mechanical engineering technologists and technicians     ,22.6,36.06,46.15,https://www.jobbank.gc.ca/marketreport/wages-occupation/3233/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
124,(22302),Industrial engineering and manufacturing technologists and technicians     ,27.0,37.0,48.75,https://www.jobbank.gc.ca/marketreport/wages-occupation/22583/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
125,(22303),Construction estimators     ,28.85,40.24,77.78,https://www.jobbank.gc.ca/marketreport/wages-occupation/3273/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
126,(22310),Electrical and electronics engineering technologists and technicians     ,23.5,34.28,46.71,https://www.jobbank.gc.ca/marketreport/wages-occupation/18010/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
127,(22311),Electronic service technicians (household and business equipment)     ,17.4,27.0,37.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/3296/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
128,(22312),Industrial instrument technicians and mechanics     ,22.0,45.0,58.75,https://www.jobbank.gc.ca/marketreport/wages-occupation/22631/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
129,(22313),"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors     ",21.24,37.64,53.57,https://www.jobbank.gc.ca/marketreport/wages-occupation/297173/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
130,(30010),Managers in health care     ,27.69,51.28,82.05,https://www.jobbank.gc.ca/marketreport/wages-occupation/1708/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
131,(31100),Specialists in clinical and laboratory medicine     ,61.86974358974359,148.71692307692308,272.4230769230769,https://www.jobbank.gc.ca/marketreport/wages-occupation/4011/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
132,(31101),Specialists in surgery      ,71.43076923076923,207.78974358974358,392.7584615384615,https://www.jobbank.gc.ca/marketreport/wages-occupation/4013/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
133,(31102),General practitioners and family physicians     ,35.66102564102564,91.6974358974359,172.0225641025641,https://www.jobbank.gc.ca/marketreport/wages-occupation/24433/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
134,(31103),Veterinarians     ,35.58,59.06,72.12,https://www.jobbank.gc.ca/marketreport/wages-occupation/4127/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
135,(31110),Dentists     ,18.96051282051282,43.07692307692308,109.74358974358974,https://www.jobbank.gc.ca/marketreport/wages-occupation/4092/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
136,(31111),Optometrists     ,18.96051282051282,35.64102564102564,74.35897435897436,https://www.jobbank.gc.ca/marketreport/wages-occupation/18193/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
137,(31112),Audiologists and speech-language pathologists     ,39.06,43.5,65.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/22740/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
138,(31120),Pharmacists     ,40.0,50.0,63.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/18196/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
139,(31121),Dietitians and nutritionists     ,24.0,41.0,48.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/4138/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
140,(31200),Psychologists     ,36.7,49.0,68.75,https://www.jobbank.gc.ca/marketreport/wages-occupation/2218/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
